StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MyTerm
18	26	GO:0097649	tubules,	A	ung hypo
36	43	GO:0040007	growth.	growth	a mouse
65	81	GO:0030324	lung development	lung	mli-Opitz syndro
76	85	GO:0009058	formation	biosynthetic	yndrome A
83	90	GO:0003675	protein	obsolete	 Abstra
91	101	GO:0003823	antibodies	antigen	t Backgrou
91	101	GO:0019815	antibodies	B	t Backgrou
91	101	GO:0042571	antibodies	immunoglobulin	t Backgrou
112	124	GO:0032502	development,	developmental	ost-squalene
125	149	GO:0006695	cholesterol biosynthesis	cholesterol	cholesterol biosynthesis
156	167	GO:0032502	development	developmental	ortant for 
159	170	GO:0007565	gestational	female	ant for mam
182	198	GO:0030324	lung development	lung	onic development
187	199	GO:0032502	development.	developmental	development.
207	217	GO:0007565	gestation.	female	l mice lac
230	237	GO:0097649	tubules	A	al dehy
230	242	GO:0032502	development,	developmental	al dehydroch
224	248	GO:0001568	blood vessel development	blood	nctional dehydrocholeste
269	281	GO:0032502	development.	developmental	r7), a model
265	282	GO:0042446	hormone synthesis	hormone	(Dhcr7), a model 
338	349	GO:0032502	development	developmental	 within 24 
371	380	GO:0009058	formation	biosynthetic	gh they h
382	394	GO:0032502	development,	developmental	e a number o
451	456	GO:0016265	death	death	death
452	463	GO:0007565	gestational	female	eath is fro
493	510	GO:0007165	signaling cascade	signal	 due to developme
502	518	GO:0010467	gene expression,	gene	evelopmental pul
515	526	GO:0007565	gestational	female	pulmonary a
559	565	GO:0005623	cells,	cell	dy, we
558	567	GO:0009058	synthesis	biosynthetic	udy, we c
552	568	GO:0030324	lung development	lung	his study, we ch
566	577	GO:0032502	development	developmental	characteriz
572	581	GO:0046903	secretion	secretion	terized f
618	636	GO:0060425	lung morphogenesis	lung	ency in lung devel
626	642	GO:0030324	lung development	lung	lung development
633	642	GO:0000917	septation	barrier	velopment
645	656	GO:0007565	gestational	female	 these mice
655	679	GO:0001763	branching morphogenesis,	morphogenesis	e. Significant growth re
702	727	GO:0001568	blood vessel development,	blood	 E14.5~E16.5, was observe
825	830	GO:0005623	cells	cell	dy we
816	835	GO:0007165	signal transduction	signal	ung-to-body weight 
844	853	GO:0023052	signaling	signaling	 noted in
896	900	GO:0005623	cell	cell	ng b
894	922	GO:0060441	Lung branching morphogenesis	epithelial	Lung branching morphogenesis
914	925	GO:0007565	gestational	female	ogenesis wa
915	926	GO:0032502	development	developmental	genesis was
931	955	GO:0006695	cholesterol biosynthesis	cholesterol	arable between Dhcr7-/- 
941	959	GO:0008283	cell proliferation	cell	ween Dhcr7-/- and 
955	961	GO:0016265	dying,	death	and co
1006	1017	GO:0032502	development	developmental	development
1007	1017	GO:0023052	signaling.	signaling	evelopment
990	1024	GO:0003892	proliferating cell nuclear antigen	obsolete	elayed saccular development was vi
1025	1031	GO:0003892	(PCNA)	obsolete	ible i
1035	1050	GO:0005886	plasma membrane	plasma	l Dhcr7-/- embr
1069	1080	GO:0007565	gestational	female	rds. Impair
1096	1107	GO:0032502	development	developmental	development
1104	1119	GO:0005886	plasma membrane	plasma	ent of varying 
1122	1126	GO:0003892	PCNA	obsolete	erit
1115	1139	GO:0006695	cholesterol biosynthesis	cholesterol	ing severity, inhibited 
1137	1146	GO:0016020	membrane)	membrane	d cell pr
1139	1158	GO:0008283	cell proliferation,	cell	cell proliferation,
1159	1169	GO:0003823	antibodies	antigen	delayed di
1159	1169	GO:0019815	antibodies	B	delayed di
1159	1169	GO:0042571	antibodies	immunoglobulin	delayed di
1158	1173	GO:0010467	gene expression	gene	 delayed differ
1209	1218	GO:0023052	signaling	signaling	ial cells
1231	1252	GO:0006695	cholesterol synthesis	cholesterol	elayed vascular devel
1247	1258	GO:0032502	development	developmental	development
1273	1292	GO:0007165	signal transduction	signal	nt in knockout lung
1298	1302	GO:0018995	host	host	fere
1338	1355	GO:0007165	signaling cascade	signal	tly normal as jud
1361	1366	GO:0005623	cells	cell	 surf
1360	1368	GO:0003675	proteins	obsolete	y surfac
1382	1393	GO:0007565	gestational	female	SP) mRNAs a
1394	1398	GO:0007568	ages	aging	d SP
1403	1412	GO:0003675	proteins,	obsolete	munostain
1416	1425	GO:0000917	septation	barrier	 A signif
1414	1430	GO:0030324	lung development	lung	g. A significant
1445	1456	GO:0032502	development	developmental	esterol was
1473	1483	GO:0023052	signaling.	signaling	ockout lun
1495	1503	GO:0003823	antibody	antigen	ing some
1495	1503	GO:0019815	antibody	B	ing some
1495	1503	GO:0042571	antibody	immunoglobulin	ing some
