StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MyTerm
50	59	GO:0051235	retention	maintenance	retention
50	59	GO:0051235	retention	maintenance	retention
55	60	GO:0005623	cells	cell	tion 
57	66	GO:0009058	formation	biosynthetic	on of som
87	98	GO:0060384	innervation	innervation	innervation
87	98	GO:0060384	innervation	innervation	innervation
164	169	GO:0005623	cells	cell	air c
158	170	GO:0060384	innervation.	innervation	ture hair ce
235	244	GO:0097194	apoptosis	execution	apoptosis
235	244	GO:0006915	apoptosis	apoptotic	apoptosis
235	244	GO:0097194	apoptosis	execution	apoptosis
235	244	GO:0006915	apoptosis	apoptotic	apoptosis
265	276	GO:0060384	innervation	innervation	rtial devel
271	282	GO:0032502	development	developmental	development
271	282	GO:0032502	development	developmental	development
316	324	GO:0003823	antibody	antigen	h neurot
316	324	GO:0019815	antibody	B	h neurot
316	324	GO:0042571	antibody	immunoglobulin	h neurot
318	330	GO:0005163	neurotrophin	nerve	neurotrophin
318	330	GO:0005165	neurotrophin	neurotrophin	neurotrophin
318	330	GO:0005163	neurotrophin	nerve	neurotrophin
318	330	GO:0005165	neurotrophin	neurotrophin	neurotrophin
387	399	GO:0032502	development.	developmental	development.
387	399	GO:0032502	development.	developmental	development.
425	438	GO:0009793	embryogenesis	embryo	gated in thes
425	438	GO:0009792	embryogenesis	embryo	gated in thes
425	438	GO:0009790	embryogenesis	embryo	gated in thes
464	475	GO:0060384	innervation	innervation	innervation
464	475	GO:0060384	innervation	innervation	innervation
503	517	GO:0005163	neurotrophins.	nerve	neurotrophins.
503	517	GO:0005165	neurotrophins.	neurotrophin	neurotrophins.
503	517	GO:0005163	neurotrophins.	nerve	neurotrophins.
503	517	GO:0005165	neurotrophins.	neurotrophin	neurotrophins.
551	558	GO:0030061	crista;	mitochondrial	ed expr
583	596	GO:0005163	neurotrophins	nerve	n the mutant 
583	596	GO:0005165	neurotrophins	neurotrophin	n the mutant 
629	638	GO:0051235	retention	maintenance	 shows no
679	683	GO:0097683	apex	dinoflagellate	ents
681	689	GO:0003823	antibody	antigen	ts that 
681	689	GO:0019815	antibody	B	ts that 
681	689	GO:0042571	antibody	immunoglobulin	ts that 
699	711	GO:0005163	neurotrophin	nerve	neurotrophin
699	711	GO:0005165	neurotrophin	neurotrophin	neurotrophin
699	711	GO:0005163	neurotrophin	nerve	neurotrophin
699	711	GO:0005165	neurotrophin	neurotrophin	neurotrophin
757	768	GO:0060384	innervation	innervation	innervation
757	768	GO:0060384	innervation	innervation	innervation
858	863	GO:0005623	cells	cell	ature
877	884	GO:0005634	nucleus	nucleus	e prese
889	897	GO:0005730	nucleoli	nucleolus	 the mut
922	927	GO:0097683	apex,	dinoflagellate	 in t
