StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MyTerm
32	47	GO:0035822	gene conversion	gene	lantation embry
52	63	GO:0032502	development	developmental	development
75	80	GO:0005623	cells	cell	tract
112	130	GO:0004198	calpain activities	calcium-dependent	ain are ubiquitous
130	144	GO:0009793	embryogenesis.	embryo	ly expressed p
130	144	GO:0009792	embryogenesis.	embryo	ly expressed p
130	144	GO:0009790	embryogenesis.	embryo	ly expressed p
187	197	GO:0007049	cell cycle	cell	cell cycle
197	201	GO:0005623	cell	cell	 pro
231	236	GO:0005623	cells	cell	es an
238	244	GO:0005623	cells.	cell	cell d
239	248	GO:0016020	membranes	membrane	ell death
238	249	GO:0008219	cell death.	cell	cell death.
288	298	GO:0007565	gestation.	female	ed of dist
326	333	GO:0023052	signal.	signaling	oded by
341	356	GO:0035822	gene conversion	gene	μ-calpain) or C
387	397	GO:0065007	regulatory	biological	regulatory
407	421	GO:0009793	embryogenesis.	embryo	ncoded by Capn
407	421	GO:0009792	embryogenesis.	embryo	ncoded by Capn
407	421	GO:0009790	embryogenesis.	embryo	ncoded by Capn
482	486	GO:0005623	cell	cell	n an
512	519	GO:0023052	signal.	signaling	resulte
522	526	GO:0005623	cell	cell	n em
532	549	GO:0004198	calpain activity.	calcium-dependent	c lethality, ther
630	644	GO:0009793	embryogenesis.	embryo	embryogenesis.
630	644	GO:0009792	embryogenesis.	embryo	embryogenesis.
630	644	GO:0009790	embryogenesis.	embryo	embryogenesis.
653	669	GO:0004198	calpain activity	calcium-dependent	on of the Capn1 
739	744	GO:0005623	cells	cell	d com
796	801	GO:0005623	cells	cell	of m-
829	834	GO:0016265	death	death	death
921	925	GO:0004239	maps	obsolete	dele
993	1009	GO:0004198	calpain activity	calcium-dependent	stems cells and 
1119	1124	GO:0005623	cells	cell	homoz
1263	1269	GO:0005623	cells,	cell	mbryos
1557	1561	GO:0005623	cell	cell	, an
1591	1602	GO:0032502	development	developmental	development
1622	1626	GO:0005623	cell	cell	ion 
1707	1721	GO:0009793	embryogenesis,	embryo	nown as μ-calp
1707	1721	GO:0009792	embryogenesis,	embryo	nown as μ-calp
1707	1721	GO:0009790	embryogenesis,	embryo	nown as μ-calp
1717	1727	GO:0004196	proteinase	obsolete	calpain (c
1717	1727	GO:0004175	proteinase	endopeptidase	calpain (c
1722	1731	GO:0016020	Membranes	membrane	in (calpa
1759	1771	GO:0032502	development.	developmental	2), are the 
1795	1800	GO:0005623	cells	cell	ne fa
1944	1950	GO:0005623	cells.	cell	 (μ-80
2028	2034	GO:0005623	cells,	cell	a regu
2030	2040	GO:0065007	regulatory	biological	regulatory
2028	2041	GO:0009793	embryogenesis	embryo	a regulatory 
2028	2041	GO:0009792	embryogenesis	embryo	a regulatory 
2028	2041	GO:0009790	embryogenesis	embryo	a regulatory 
2089	2103	GO:0009793	embryogenesis.	embryo	d m-80 k subun
2089	2103	GO:0009792	embryogenesis.	embryo	d m-80 k subun
2089	2103	GO:0009790	embryogenesis.	embryo	d m-80 k subun
2113	2117	GO:0005623	cell	cell	62% 
2174	2179	GO:0005623	cells	cell	ms of
2192	2197	GO:0005623	cells	cell	rotei
2191	2198	GO:0003675	protein	obsolete	protein
2307	2312	GO:0005623	cells	cell	rns o
2316	2332	GO:0035822	gene conversion.	gene	 and m-calpain i
2353	2363	GO:0005694	chromosome	chromosome	uggest the
2392	2397	GO:0005623	cells	cell	and d
2432	2447	GO:0016310	phosphorylation	phosphorylation	gnations derive
2450	2455	GO:0005623	cells	cell	om th
2459	2467	GO:0003675	proteins	obsolete	vels of 
2480	2500	GO:0030168	platelet activation.	platelet	 in vitro for optima
2500	2505	GO:0005623	cells	cell	l act
2564	2570	GO:0005623	cells,	cell	or m-c
2598	2604	GO:0005623	cells,	cell	med th
2654	2661	GO:0023052	signal.	signaling	nsitivi
2735	2739	GO:0005623	cell	cell	ted.
2747	2753	GO:0005623	cells,	cell	more, 
2780	2786	GO:0023052	signal	signaling	Ca2+ c
2784	2788	GO:0005623	cell	cell	 con
2817	2833	GO:0004198	calpain activity	calcium-dependent	than 1 μM, it is
2893	2903	GO:0065007	regulation	biological	regulation
2942	2946	GO:0005623	cell	cell	know
2978	2994	GO:0004198	calpain activity	calcium-dependent	calpain activity
3052	3056	GO:0005623	cell	cell	unct
3183	3190	GO:0040007	growth,	growth	growth,
3191	3203	GO:0032502	development,	developmental	development,
3231	3237	GO:0040007	growth	growth	growth
3255	3268	GO:0000003	reproduction,	reproduction	tion [4], cel
3265	3275	GO:0007049	cell cycle	cell	cell cycle
3295	3310	GO:0007165	signal cascades	signal	signal cascades
3299	3310	GO:0032502	development	developmental	al cascades
3358	3366	GO:0016020	membrane	membrane	membrane
3401	3413	GO:0005856	cytoskeleton	cytoskeleton	cytoskeleton
3418	3432	GO:0016477	cell migration	cell	cell migration
3445	3469	GO:0010941	regulation of cell death	regulation	regulation of cell death
3479	3487	GO:0001906	necrosis	cell	necrosis
3479	3487	GO:0019835	necrosis	cytolysis	necrosis
3479	3487	GO:0008220	necrosis	obsolete	necrosis
3479	3487	GO:0070265	necrosis	necrotic	necrosis
3479	3487	GO:0008219	necrosis	cell	necrosis
3492	3501	GO:0097194	apoptosis	execution	apoptosis
3492	3501	GO:0006915	apoptosis	apoptotic	apoptosis
3494	3504	GO:0065007	regulatory	biological	optosis [1
3547	3552	GO:0030315	triad	T-tubule	omple
3550	3562	GO:0032502	development.	developmental	lex interpla
3594	3607	GO:0009566	fertilization	fertilization	[23,24] and i
3627	3637	GO:0008219	cell death	cell	cell death
3658	3669	GO:0032502	development	developmental	25]. The la
3838	3842	GO:0005623	cell	cell	r-ex
3873	3878	GO:0016265	dying	death	dogen
3872	3884	GO:0032502	development:	developmental	ndogenous pr
3882	3889	GO:0003675	protein	obsolete	protein
3922	3927	GO:0019835	lysis	cytolysis	ovide
3981	3991	GO:0004196	proteinase	obsolete	 distingui
3981	3991	GO:0004175	proteinase	endopeptidase	 distingui
4054	4064	GO:0004196	proteinase	obsolete	ed isoform
4054	4064	GO:0004175	proteinase	endopeptidase	ed isoform
4113	4136	GO:0005154	epidermal growth factor	epidermal	epidermal growth factor
4138	4161	GO:0005154	Epidermal growth factor	epidermal	EGF)-induced cell motil
